0.358621 ( 25 ) precision 0.578221  recall 0.604554  f-micro 0.591095 
0.355231 ( 25 ) precision 0.578811  recall 0.604362  f-micro 0.591310 
0.358920 ( 25 ) precision 0.580100  recall 0.604705  f-micro 0.592147 
0.355453 ( 25 ) precision 0.580044  recall 0.605029  f-micro 0.592273 
0.350306 ( 25 ) precision 0.579729  recall 0.604825  f-micro 0.592011 
0.349066 ( 25 ) precision 0.580618  recall 0.604349  f-micro 0.592246 
0.351012 ( 25 ) precision 0.581421  recall 0.604464  f-micro 0.592718 
0.357544 ( 25 ) precision 0.581967  recall 0.604948  f-micro 0.593235 
0.351066 ( 25 ) precision 0.582070  recall 0.604047  f-micro 0.592855 
0.352642 ( 25 ) precision 0.583207  recall 0.603892  f-micro 0.593369 
0.353562 ( 25 ) precision 0.584118  recall 0.603956  f-micro 0.593872 
0.354000 ( 25 ) precision 0.584970  recall 0.604140  f-micro 0.594400 
0.352048 ( 25 ) precision 0.585893  recall 0.603826  f-micro 0.594725 
0.355656 ( 25 ) precision 0.586785  recall 0.603923  f-micro 0.595231 
0.354439 ( 25 ) precision 0.588045  recall 0.603708  f-micro 0.595773 
0.358575 ( 25 ) precision 0.589071  recall 0.603758  f-micro 0.596324 
0.353148 ( 25 ) precision 0.590098  recall 0.603937  f-micro 0.596938 
0.348479 ( 25 ) precision 0.590369  recall 0.603938  f-micro 0.597077 
0.343073 ( 25 ) precision 0.590385  recall 0.604023  f-micro 0.597126 
0.342322 ( 25 ) precision 0.591454  recall 0.603519  f-micro 0.597426 
0.353285 ( 25 ) precision 0.592480  recall 0.603498  f-micro 0.597938 
0.354140 ( 25 ) precision 0.593424  recall 0.602943  f-micro 0.598146 
0.351015 ( 25 ) precision 0.594175  recall 0.602982  f-micro 0.598546 
0.359504 ( 25 ) precision 0.594792  recall 0.603267  f-micro 0.598999 
0.353208 ( 25 ) precision 0.595178  recall 0.603345  f-micro 0.599234 
0.353083 ( 25 ) precision 0.595574  recall 0.603522  f-micro 0.599522 
0.352541 ( 25 ) precision 0.595436  recall 0.603304  f-micro 0.599344 
0.338895 ( 25 ) precision 0.595542  recall 0.603040  f-micro 0.599268 
0.351315 ( 25 ) precision 0.596263  recall 0.603213  f-micro 0.599718 
0.346465 ( 25 ) precision 0.596987  recall 0.603011  f-micro 0.599984 
0.343587 ( 25 ) precision 0.597754  recall 0.602714  f-micro 0.600224 
0.353065 ( 25 ) precision 0.598223  recall 0.602809  f-micro 0.600507 
0.337875 ( 25 ) precision 0.598311  recall 0.602582  f-micro 0.600439 
0.338856 ( 25 ) precision 0.598393  recall 0.602579  f-micro 0.600479 
0.338014 ( 25 ) precision 0.598279  recall 0.602505  f-micro 0.600384 
0.349775 ( 25 ) precision 0.598743  recall 0.602699  f-micro 0.600715 
0.356500 ( 25 ) precision 0.599282  recall 0.602795  f-micro 0.601033 
0.350362 ( 25 ) precision 0.599810  recall 0.602387  f-micro 0.601095 
0.343312 ( 25 ) precision 0.600433  recall 0.602230  f-micro 0.601330 
0.352131 ( 25 ) precision 0.601265  recall 0.602321  f-micro 0.601793 
0.354108 ( 25 ) precision 0.601704  recall 0.602024  f-micro 0.601864 
0.340837 ( 25 ) precision 0.602166  recall 0.601613  f-micro 0.601890 
0.351792 ( 25 ) precision 0.602341  recall 0.601433  f-micro 0.601887 
0.352940 ( 25 ) precision 0.602481  recall 0.601732  f-micro 0.602106 
0.348366 ( 25 ) precision 0.602411  recall 0.601410  f-micro 0.601910 
0.346665 ( 25 ) precision 0.602959  recall 0.601396  f-micro 0.602176 
0.349479 ( 25 ) precision 0.603307  recall 0.601362  f-micro 0.602333 
0.344309 ( 25 ) precision 0.603596  recall 0.601203  f-micro 0.602397 
0.341340 ( 25 ) precision 0.603576  recall 0.601146  f-micro 0.602359 
0.342910 ( 25 ) precision 0.603425  recall 0.601388  f-micro 0.602405 
0.354278 ( 25 ) precision 0.603492  recall 0.601445  f-micro 0.602467 
0.353665 ( 25 ) precision 0.603662  recall 0.601715  f-micro 0.602687 
0.347532 ( 25 ) precision 0.603852  recall 0.601537  f-micro 0.602692 
0.352975 ( 25 ) precision 0.603768  recall 0.601387  f-micro 0.602575 
0.350828 ( 25 ) precision 0.603788  recall 0.601441  f-micro 0.602612 
0.352678 ( 25 ) precision 0.603525  recall 0.601603  f-micro 0.602562 
0.348871 ( 25 ) precision 0.603418  recall 0.601457  f-micro 0.602436 
0.350586 ( 25 ) precision 0.603322  recall 0.601674  f-micro 0.602497 
0.349205 ( 25 ) precision 0.603282  recall 0.601857  f-micro 0.602569 
0.352386 ( 25 ) precision 0.603020  recall 0.601909  f-micro 0.602464 
0.339866 ( 25 ) precision 0.602904  recall 0.601675  f-micro 0.602289 
0.349750 ( 25 ) precision 0.602923  recall 0.601649  f-micro 0.602285 
0.349034 ( 25 ) precision 0.603303  recall 0.601340  f-micro 0.602320 
