
0.204077 ( 20 ) precision 0.647446  recall 0.650817  f-micro 0.649127 
0.205968 ( 20 ) precision 0.646901  recall 0.650892  f-micro 0.648890 
0.204467 ( 20 ) precision 0.647068  recall 0.650687  f-micro 0.648873 
0.205807 ( 20 ) precision 0.647380  recall 0.650564  f-micro 0.648968 
0.206527 ( 20 ) precision 0.647752  recall 0.650520  f-micro 0.649133 
0.206739 ( 20 ) precision 0.647713  recall 0.650514  f-micro 0.649111 
0.206611 ( 20 ) precision 0.647885  recall 0.650515  f-micro 0.649197 
0.201529 ( 20 ) precision 0.647853  recall 0.650545  f-micro 0.649196 
0.205736 ( 20 ) precision 0.647965  recall 0.650525  f-micro 0.649242 
0.203849 ( 20 ) precision 0.648127  recall 0.650477  f-micro 0.649300 
0.203349 ( 20 ) precision 0.648341  recall 0.650423  f-micro 0.649380 
0.202861 ( 20 ) precision 0.648627  recall 0.650255  f-micro 0.649440 
0.203749 ( 20 ) precision 0.648847  recall 0.650146  f-micro 0.649496 
0.206634 ( 20 ) precision 0.649083  recall 0.650185  f-micro 0.649633 
0.205315 ( 20 ) precision 0.649112  recall 0.650268  f-micro 0.649690 
0.204396 ( 20 ) precision 0.649376  recall 0.650124  f-micro 0.649750 
0.204715 ( 20 ) precision 0.649668  recall 0.649925  f-micro 0.649797 
0.202950 ( 20 ) precision 0.649706  recall 0.649858  f-micro 0.649782 
0.204241 ( 20 ) precision 0.649721  recall 0.649891  f-micro 0.649806 
0.203476 ( 20 ) precision 0.649902  recall 0.649733  f-micro 0.649818 
0.203649 ( 20 ) precision 0.650172  recall 0.649610  f-micro 0.649891 
0.202342 ( 20 ) precision 0.650187  recall 0.649651  f-micro 0.649919 
0.205235 ( 20 ) precision 0.650297  recall 0.649662  f-micro 0.649979 
0.202487 ( 20 ) precision 0.650270  recall 0.649684  f-micro 0.649977 
0.204088 ( 20 ) precision 0.650440  recall 0.649619  f-micro 0.650029 
0.206774 ( 20 ) precision 0.650671  recall 0.649716  f-micro 0.650193 
0.202613 ( 20 ) precision 0.650800  recall 0.649737  f-micro 0.650268 
0.205112 ( 20 ) precision 0.650853  recall 0.649735  f-micro 0.650294 
0.203154 ( 20 ) precision 0.650461  recall 0.649856  f-micro 0.650158 
0.203698 ( 20 ) precision 0.650408  recall 0.649974  f-micro 0.650191 
0.207402 ( 20 ) precision 0.650492  recall 0.650073  f-micro 0.650282 
0.204138 ( 20 ) precision 0.650498  recall 0.650192  f-micro 0.650345 
0.201745 ( 20 ) precision 0.650396  recall 0.650319  f-micro 0.650357 
0.201268 ( 20 ) precision 0.650290  recall 0.650438  f-micro 0.650364 
0.200400 ( 20 ) precision 0.650283  recall 0.650508  f-micro 0.650396 
0.201385 ( 20 ) precision 0.650353  recall 0.650556  f-micro 0.650455 
0.202814 ( 20 ) precision 0.650337  recall 0.650674  f-micro 0.650506 
0.202722 ( 20 ) precision 0.650309  recall 0.650785  f-micro 0.650547 
0.202404 ( 20 ) precision 0.650214  recall 0.650915  f-micro 0.650564 
0.202837 ( 20 ) precision 0.650183  recall 0.651026  f-micro 0.650605 
0.204355 ( 20 ) precision 0.650391  recall 0.650909  f-micro 0.650650 
0.205143 ( 20 ) precision 0.650544  recall 0.650837  f-micro 0.650691 
0.206255 ( 20 ) precision 0.650519  recall 0.650889  f-micro 0.650704 
0.206212 ( 20 ) precision 0.650395  recall 0.650958  f-micro 0.650677 
0.206551 ( 20 ) precision 0.650161  recall 0.651050  f-micro 0.650605 
0.205563 ( 20 ) precision 0.650182  recall 0.651041  f-micro 0.650611 
0.206558 ( 20 ) precision 0.650377  recall 0.650967  f-micro 0.650672 
