
0.196229 ( 20 ) precision 0.605959  recall 0.628396  f-micro 0.616974 
0.195763 ( 20 ) precision 0.605687  recall 0.628370  f-micro 0.616820 
0.196577 ( 20 ) precision 0.605736  recall 0.628423  f-micro 0.616871 
0.190411 ( 20 ) precision 0.605787  recall 0.628331  f-micro 0.616853 
0.192253 ( 20 ) precision 0.606041  recall 0.628181  f-micro 0.616913 
0.193024 ( 20 ) precision 0.606340  recall 0.627964  f-micro 0.616962 
0.194534 ( 20 ) precision 0.606681  recall 0.627971  f-micro 0.617142 
0.194300 ( 20 ) precision 0.607030  recall 0.627866  f-micro 0.617272 
0.192988 ( 20 ) precision 0.607228  recall 0.627805  f-micro 0.617345 
0.195709 ( 20 ) precision 0.607563  recall 0.627657  f-micro 0.617447 
0.196885 ( 20 ) precision 0.607677  recall 0.627585  f-micro 0.617470 
0.198932 ( 20 ) precision 0.608009  recall 0.627508  f-micro 0.617604 
0.198499 ( 20 ) precision 0.608177  recall 0.627387  f-micro 0.617633 
0.195000 ( 20 ) precision 0.608312  recall 0.627234  f-micro 0.617628 
0.193934 ( 20 ) precision 0.608156  recall 0.627153  f-micro 0.617509 
0.197701 ( 20 ) precision 0.608154  recall 0.627123  f-micro 0.617493 
0.198152 ( 20 ) precision 0.608167  recall 0.627122  f-micro 0.617499 
0.199824 ( 20 ) precision 0.608274  recall 0.627126  f-micro 0.617556 
0.195615 ( 20 ) precision 0.608352  recall 0.627058  f-micro 0.617564 
0.196304 ( 20 ) precision 0.608371  recall 0.627044  f-micro 0.617566 
0.193098 ( 20 ) precision 0.608237  recall 0.626978  f-micro 0.617466 
0.196079 ( 20 ) precision 0.608318  recall 0.626956  f-micro 0.617496 
0.197153 ( 20 ) precision 0.608176  recall 0.626906  f-micro 0.617399 
0.197948 ( 20 ) precision 0.608209  recall 0.626907  f-micro 0.617416 
0.196336 ( 20 ) precision 0.608286  recall 0.626976  f-micro 0.617489 
0.201043 ( 20 ) precision 0.608248  recall 0.626963  f-micro 0.617464 
0.202997 ( 20 ) precision 0.608247  recall 0.626968  f-micro 0.617466 
0.200606 ( 20 ) precision 0.608409  recall 0.626964  f-micro 0.617547 
0.199975 ( 20 ) precision 0.608486  recall 0.627082  f-micro 0.617644 
0.199113 ( 20 ) precision 0.608673  recall 0.627082  f-micro 0.617740 
0.198829 ( 20 ) precision 0.608709  recall 0.627038  f-micro 0.617738 
0.203198 ( 20 ) precision 0.608730  recall 0.627051  f-micro 0.617755 
0.207469 ( 20 ) precision 0.608913  recall 0.627051  f-micro 0.617849 
0.201782 ( 20 ) precision 0.609040  recall 0.627072  f-micro 0.617924 
